City,Avg_Maximum_Temperature,Avg_Minimum_Temperature,Monthly
Chennai,301.4750061,301.4750061,09-2012
Delhi,303.2266846,303.2266846,09-2012
Hyderabad,297.9550171,297.2975159,09-2012
Jaipur,300.2558289,300.2558289,09-2012
Kolkata,301.0700073,299.2458496,09-2012
Mumbai,298.7774963,298.7774963,09-2012
Pune,298.7774963,298.7774963,09-2012
Ahmedabad,304.4217834,303.3492126,10-2012
Bangalore,297.8580627,297.7798462,10-2012
Bhopal,301.204834,300.0354919,10-2012
Bhubaneswar,295.4677429,295.4677429,10-2012
Chennai,300.9645081,300.9645081,10-2012
Delhi,300.9491882,300.9491882,10-2012
Hyderabad,299.1201782,298.2637024,10-2012
Jaipur,300.4846802,300.4846802,10-2012
Kolkata,298.4185486,297.9274292,10-2012
Mumbai,301.1040344,301.1040344,10-2012
Pune,301.1040344,301.1040344,10-2012
Ahmedabad,300.5708313,298.2858276,11-2012
Bangalore,298.2124939,296.7058411,11-2012
Bhopal,296.5358276,296.1149902,11-2012
Bhubaneswar,292.4733276,292.4733276,11-2012
Chennai,299.1433411,299.1433411,11-2012
Delhi,296.7108459,296.7108459,11-2012
Hyderabad,296.7783508,296.7591858,11-2012
Jaipur,295.8724976,295.8724976,11-2012
Kolkata,295.75,294.7708435,11-2012
Mumbai,300.3383484,300.3383484,11-2012
Pune,300.3383484,300.3383484,11-2012
Ahmedabad,294.6105042,293.0096741,12-2012
Bangalore,297.6080627,295.4532166,12-2012
Bhopal,292.4572754,292.4008179,12-2012
Bhubaneswar,290.3709717,290.3709717,12-2012
Chennai,297.4854736,297.4854736,12-2012
Delhi,292.7096863,292.7096863,12-2012
Hyderabad,296.0072632,295.625824,12-2012
Jaipur,290.8895264,290.8895264,12-2012
Kolkata,293.3846741,292.4153442,12-2012
Mumbai,298.9435425,298.9435425,12-2012
Pune,298.9435425,298.9435425,12-2012
Ahmedabad,293.0701599,290.9282227,01-2013
Bangalore,298.2879028,295.9838867,01-2013
Bhopal,290.3475952,289.875824,01-2013
Bhubaneswar,290.512085,290.512085,01-2013
Chennai,296.7362976,296.7362976,01-2013
Delhi,291.454834,291.454834,01-2013
Hyderabad,296.5322571,296.0411377,01-2013
Jaipur,288.9217834,288.9217834,01-2013
Kolkata,292.2290344,292.0613098,01-2013
Mumbai,297.6403198,297.6403198,01-2013
Pune,297.6403198,297.6403198,01-2013
Ahmedabad,296.344635,295.4267883,02-2013
