DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,date,mean
Nainital,11,5,Uttarakhand,2011-05-01,2.08E-06
Pithoragarh,7,5,Uttarakhand,2011-05-01,3.27E-06
Rudraprayag,3,5,Uttarakhand,2011-05-01,2.53E-06
Tehri Garhwal,4,5,Uttarakhand,2011-05-01,1.38E-06
Udham Singh Nagar,12,5,Uttarakhand,2011-05-01,1.66E-06
Uttarkashi,1,5,Uttarakhand,2011-05-01,1.98E-06
Ambala,2,6,Haryana,2011-05-01,1.81E-06
Gurgaon,18,6,Haryana,2011-05-01,4.83E-07
Faridabad,19,6,Haryana,2011-05-01,4.24E-07
Fatehabad,10,6,Haryana,2011-05-01,0.00E+00
Hisar,12,6,Haryana,2011-05-01,7.20E-08
Jind,9,6,Haryana,2011-05-01,3.15E-07
Kaithal,5,6,Haryana,2011-05-01,4.38E-07
Karnal,6,6,Haryana,2011-05-01,4.83E-07
Kurukshetra,4,6,Haryana,2011-05-01,9.84E-07
Panchkula,1,6,Haryana,2011-05-01,1.81E-06
Panipat,7,6,Haryana,2011-05-01,3.25E-07
Rohtak,14,6,Haryana,2011-05-01,4.75E-07
Sirsa,11,6,Haryana,2011-05-01,0.00E+00
Sonipat,8,6,Haryana,2011-05-01,4.37E-07
Yamunanagar,3,6,Haryana,2011-05-01,3.11E-06
Jhajjar,15,6,Haryana,2011-05-01,5.26E-07
Mahendragarh,16,6,Haryana,2011-05-01,4.73E-07
Rewari,17,6,Haryana,2011-05-01,4.69E-07
Bhiwani,13,6,Haryana,2011-05-01,1.80E-07
Central,6,7,Delhi  & NCR,2011-05-01,5.41E-07
East,4,7,Delhi  & NCR,2011-05-01,6.00E-07
New Delhi,5,7,Delhi  & NCR,2011-05-01,5.36E-07
North,2,7,Delhi  & NCR,2011-05-01,5.42E-07
North East,3,7,Delhi  & NCR,2011-05-01,5.92E-07
North West,1,7,Delhi  & NCR,2011-05-01,5.80E-07
South,9,7,Delhi  & NCR,2011-05-01,5.17E-07
South West,8,7,Delhi  & NCR,2011-05-01,5.69E-07
West,7,7,Delhi  & NCR,2011-05-01,5.43E-07
Ajmer,21,8,Rajasthan,2011-05-01,3.55E-07
Banswara,28,8,Rajasthan,2011-05-01,0.00E+00
Barmer,17,8,Rajasthan,2011-05-01,6.24E-13
Bhilwara,24,8,Rajasthan,2011-05-01,1.65E-07
Bikaner,3,8,Rajasthan,2011-05-01,7.62E-07
Bharatpur,7,8,Rajasthan,2011-05-01,3.18E-07
Bundi,23,8,Rajasthan,2011-05-01,7.50E-08
Chittaurgarh,29,8,Rajasthan,2011-05-01,2.50E-08
Churu,4,8,Rajasthan,2011-05-01,4.83E-08
Dausa,11,8,Rajasthan,2011-05-01,5.63E-07
Dhaulpur,8,8,Rajasthan,2011-05-01,8.64E-08
Dungarpur,27,8,Rajasthan,2011-05-01,0.00E+00
Karauli,9,8,Rajasthan,2011-05-01,2.89E-07
Jaipur,12,8,Rajasthan,2011-05-01,7.87E-07
Jaisalmer,16,8,Rajasthan,2011-05-01,1.57E-09
Jalor,18,8,Rajasthan,2011-05-01,0.00E+00
Jhalawar,32,8,Rajasthan,2011-05-01,0.00E+00
Jhunjhunun,5,8,Rajasthan,2011-05-01,5.47E-08
Jodhpur,15,8,Rajasthan,2011-05-01,0.00E+00
Kota,30,8,Rajasthan,2011-05-01,0.00E+00
Nagaur,14,8,Rajasthan,2011-05-01,1.02E-07
Pali,20,8,Rajasthan,2011-05-01,2.00E-08
Rajsamand,25,8,Rajasthan,2011-05-01,3.35E-08
Sawai Madhopur,10,8,Rajasthan,2011-05-01,3.13E-07
Sirohi,19,8,Rajasthan,2011-05-01,0.00E+00
Tonk,22,8,Rajasthan,2011-05-01,6.52E-07
Sikar,13,8,Rajasthan,2011-05-01,2.51E-07
Alwar,6,8,Rajasthan,2011-05-01,6.79E-07
Udaipur,26,8,Rajasthan,2011-05-01,2.52E-09
Ganganagar,1,8,Rajasthan,2011-05-01,7.39E-07
Hanumangarh,2,8,Rajasthan,2011-05-01,2.53E-08
Baran,31,8,Rajasthan,2011-05-01,0.00E+00
Auraiya,32,9,Uttar Pradesh,2011-05-01,0.00E+00
Azamgarh,61,9,Uttar Pradesh,2011-05-01,4.39E-06
Budaun,19,9,Uttar Pradesh,2011-05-01,2.24E-07
Agra,15,9,Uttar Pradesh,2011-05-01,6.07E-08
Aligarh,12,9,Uttar Pradesh,2011-05-01,1.34E-07
Allahabad,45,9,Uttar Pradesh,2011-05-01,0.00E+00
Ambedkar Nagar,48,9,Uttar Pradesh,2011-05-01,6.86E-06
Bareilly,20,9,Uttar Pradesh,2011-05-01,9.03E-07
Bijnor,3,9,Uttar Pradesh,2011-05-01,1.70E-06
Basti,55,9,Uttar Pradesh,2011-05-01,9.80E-06
Baghpat,8,9,Uttar Pradesh,2011-05-01,4.82E-07
Bahraich,50,9,Uttar Pradesh,2011-05-01,5.44E-06
Ballia,63,9,Uttar Pradesh,2011-05-01,9.05E-06
Balrampur,52,9,Uttar Pradesh,2011-05-01,9.14E-06
Banda,40,9,Uttar Pradesh,2011-05-01,0.00E+00
Barabanki,46,9,Uttar Pradesh,2011-05-01,3.16E-06
Chitrakoot,41,9,Uttar Pradesh,2011-05-01,0.00E+00
Chandauli,66,9,Uttar Pradesh,2011-05-01,5.65E-06
Deoria,60,9,Uttar Pradesh,2011-05-01,6.03E-06
Etah,17,9,Uttar Pradesh,2011-05-01,2.15E-08
Kanpur Dehat,33,9,Uttar Pradesh,2011-05-01,1.62E-07
Etawah,31,9,Uttar Pradesh,2011-05-01,0.00E+00
Faizabad,47,9,Uttar Pradesh,2011-05-01,4.79E-06
Ghazipur,65,9,Uttar Pradesh,2011-05-01,1.04E-05
Gonda,53,9,Uttar Pradesh,2011-05-01,6.07E-06
Gorakhpur,58,9,Uttar Pradesh,2011-05-01,4.99E-06
Farrukhabad,29,9,Uttar Pradesh,2011-05-01,6.90E-07
Fatehpur,42,9,Uttar Pradesh,2011-05-01,0.00E+00
Firozabad,16,9,Uttar Pradesh,2011-05-01,0.00E+00
Hamirpur,38,9,Uttar Pradesh,2011-05-01,0.00E+00
Hardoi,25,9,Uttar Pradesh,2011-05-01,1.56E-06
Hathras,13,9,Uttar Pradesh,2011-05-01,3.41E-08
Jalaun,35,9,Uttar Pradesh,2011-05-01,0.00E+00
Jaunpur,64,9,Uttar Pradesh,2011-05-01,1.50E-06
Jhansi,36,9,Uttar Pradesh,2011-05-01,0.00E+00
Jyotiba Phule Nagar,6,9,Uttar Pradesh,2011-05-01,1.31E-07
Kannauj,30,9,Uttar Pradesh,2011-05-01,2.03E-07
Kanpur Nagar,34,9,Uttar Pradesh,2011-05-01,3.53E-08
Kaushambi,44,9,Uttar Pradesh,2011-05-01,0.00E+00
Kheri,23,9,Uttar Pradesh,2011-05-01,2.31E-06
Mirzapur,69,9,Uttar Pradesh,2011-05-01,9.54E-07
Moradabad,4,9,Uttar Pradesh,2011-05-01,3.45E-07
Muzaffarnagar,2,9,Uttar Pradesh,2011-05-01,7.70E-07
Rae Bareli,28,9,Uttar Pradesh,2011-05-01,1.30E-07
Kushinagar,59,9,Uttar Pradesh,2011-05-01,1.28E-05
Lucknow,27,9,Uttar Pradesh,2011-05-01,1.87E-06
Lalitpur,37,9,Uttar Pradesh,2011-05-01,0.00E+00
Mahrajganj,57,9,Uttar Pradesh,2011-05-01,1.10E-05
Mahoba,39,9,Uttar Pradesh,2011-05-01,0.00E+00
Mainpuri,18,9,Uttar Pradesh,2011-05-01,9.02E-09
Mathura,14,9,Uttar Pradesh,2011-05-01,2.86E-07
Mau,62,9,Uttar Pradesh,2011-05-01,6.79E-06
Meerut,7,9,Uttar Pradesh,2011-05-01,7.24E-07
Pilibhit,21,9,Uttar Pradesh,2011-05-01,1.40E-06
Pratapgarh,43,9,Uttar Pradesh,2011-05-01,2.70E-07
Rampur,5,9,Uttar Pradesh,2011-05-01,7.15E-07
Sant Ravidas Nagar Bhadohi,68,9,Uttar Pradesh,2011-05-01,0.00E+00
Sant Kabir Nagar,56,9,Uttar Pradesh,2011-05-01,7.14E-06
Shahjahanpur,22,9,Uttar Pradesh,2011-05-01,1.40E-06
Shrawasti,51,9,Uttar Pradesh,2011-05-01,6.82E-06
Saharanpur,1,9,Uttar Pradesh,2011-05-01,2.17E-06
Sitapur,24,9,Uttar Pradesh,2011-05-01,3.53E-06
Sultanpur,49,9,Uttar Pradesh,2011-05-01,2.67E-06
Sonbhadra,70,9,Uttar Pradesh,2011-05-01,3.45E-06
Siddharthnagar,54,9,Uttar Pradesh,2011-05-01,9.83E-06
Unnao,26,9,Uttar Pradesh,2011-05-01,7.49E-07
Varanasi,67,9,Uttar Pradesh,2011-05-01,1.86E-06
Bulandshahr,11,9,Uttar Pradesh,2011-05-01,2.30E-07
Gautam Buddha Nagar,10,9,Uttar Pradesh,2011-05-01,4.97E-07
Ghaziabad,9,9,Uttar Pradesh,2011-05-01,5.57E-07
Araria,7,10,Bihar,2011-05-01,1.79E-05
Aurangabad,34,10,Bihar,2011-05-01,4.03E-06
Banka,23,10,Bihar,2011-05-01,2.64E-05
Bhagalpur,22,10,Bihar,2011-05-01,3.55E-05
Begusarai,20,10,Bihar,2011-05-01,7.23E-06
Saran,17,10,Bihar,2011-05-01,1.67E-05
Katihar,10,10,Bihar,2011-05-01,6.68E-05
Darbhanga,13,10,Bihar,2011-05-01,1.73E-05
Gopalganj,15,10,Bihar,2011-05-01,1.83E-05
Jamui,37,10,Bihar,2011-05-01,1.59E-05
Kishanganj,8,10,Bihar,2011-05-01,4.47E-05
Muzaffarpur,14,10,Bihar,2011-05-01,1.72E-05
Purnia,9,10,Bihar,2011-05-01,6.74E-05
Khagaria,21,10,Bihar,2011-05-01,6.75E-06
Madhubani,5,10,Bihar,2011-05-01,2.73E-05
Lakhisarai,25,10,Bihar,2011-05-01,3.82E-06
Madhepura,11,10,Bihar,2011-05-01,2.09E-05
Purba Champaran,2,10,Bihar,2011-05-01,2.34E-05
Munger,24,10,Bihar,2011-05-01,2.28E-06
Nalanda,27,10,Bihar,2011-05-01,1.60E-05
Nawada,36,10,Bihar,2011-05-01,1.19E-05
Pashchim Champaran,1,10,Bihar,2011-05-01,1.99E-05
Patna,28,10,Bihar,2011-05-01,1.63E-05
Samastipur,19,10,Bihar,2011-05-01,2.94E-05
Sheikhpura,26,10,Bihar,2011-05-01,1.82E-05
Sheohar,3,10,Bihar,2011-05-01,1.68E-05
Saharsa,12,10,Bihar,2011-05-01,9.96E-06
Sitamarhi,4,10,Bihar,2011-05-01,1.92E-05
Siwan,16,10,Bihar,2011-05-01,1.39E-05
Supaul,6,10,Bihar,2011-05-01,2.65E-05
Vaishali,18,10,Bihar,2011-05-01,3.06E-05
Kaimur (Bhabua),31,10,Bihar,2011-05-01,6.52E-06
Gaya,35,10,Bihar,2011-05-01,6.43E-06
Bhojpur,29,10,Bihar,2011-05-01,6.39E-06
Buxar,30,10,Bihar,2011-05-01,6.04E-06
Jehanabad,33,10,Bihar,2011-05-01,7.12E-06
Rohtas,32,10,Bihar,2011-05-01,5.05E-06
East,4,11,Sikkim,2011-05-01,6.49E-06
North,1,11,Sikkim,2011-05-01,4.34E-06
South,3,11,Sikkim,2011-05-01,6.47E-06
West,2,11,Sikkim,2011-05-01,5.84E-06
Changlang,12,12,Arunanchal Pradesh,2011-05-01,3.94E-05
Dibang Valley,10,12,Arunanchal Pradesh,2011-05-01,1.93E-05
East Kameng,3,12,Arunanchal Pradesh,2011-05-01,6.05E-05
East Siang,8,12,Arunanchal Pradesh,2011-05-01,4.11E-05
Lohit,11,12,Arunanchal Pradesh,2011-05-01,2.49E-05
Lower Subansiri,5,12,Arunanchal Pradesh,2011-05-01,4.44E-05
Papum Pare,4,12,Arunanchal Pradesh,2011-05-01,6.11E-05
Tawang,1,12,Arunanchal Pradesh,2011-05-01,4.10E-05
Tirap,13,12,Arunanchal Pradesh,2011-05-01,3.95E-05
West Kameng,2,12,Arunanchal Pradesh,2011-05-01,6.91E-05
West Siang,7,12,Arunanchal Pradesh,2011-05-01,3.70E-05
Upper Siang,9,12,Arunanchal Pradesh,2011-05-01,2.73E-05
Upper Subansiri,6,12,Arunanchal Pradesh,2011-05-01,3.35E-05
Mokokchung,3,13,Nagaland,2011-05-01,4.13E-05
Mon,1,13,Nagaland,2011-05-01,3.95E-05
Phek,8,13,Nagaland,2011-05-01,3.23E-05
Tuensang,2,13,Nagaland,2011-05-01,3.37E-05
Wokha,5,13,Nagaland,2011-05-01,4.19E-05
Zunheboto,4,13,Nagaland,2011-05-01,3.52E-05
Dimapur,6,13,Nagaland,2011-05-01,4.13E-05
Kohima,7,13,Nagaland,2011-05-01,4.21E-05
Bishnupur,4,14,Manipur,2011-05-01,5.99E-05
Chandel,9,14,Manipur,2011-05-01,6.07E-05
Churachandpur,3,14,Manipur,2011-05-01,8.31E-05
Imphal East,7,14,Manipur,2011-05-01,5.80E-05
Imphal West,6,14,Manipur,2011-05-01,1.05E-04
Senapati (Excl. 3 sub-divisions),1,14,Manipur,2011-05-01,4.34E-05
Tamenglong,2,14,Manipur,2011-05-01,6.65E-05
Thoubal,5,14,Manipur,2011-05-01,6.05E-05
Ukhrul,8,14,Manipur,2011-05-01,4.46E-05
Aizawl,3,15,Mizoram,2011-05-01,1.16E-04
Champhai,4,15,Mizoram,2011-05-01,8.43E-05
Kolasib,2,15,Mizoram,2011-05-01,9.28E-05
Mamit,1,15,Mizoram,2011-05-01,1.33E-04
Lunglei,6,15,Mizoram,2011-05-01,9.43E-05
Lawngtlai,7,15,Mizoram,2011-05-01,7.46E-05
Saiha,8,15,Mizoram,2011-05-01,7.98E-05
Serchhip,5,15,Mizoram,2011-05-01,9.66E-05
Dhalai,3,16,Tripura,2011-05-01,1.30E-04
North Tripura,4,16,Tripura,2011-05-01,1.20E-04
South Tripura,2,16,Tripura,2011-05-01,1.12E-04
West Tripura,1,16,Tripura,2011-05-01,1.29E-04
East Garo Hills,2,17,Meghalaya,2011-05-01,2.34E-04
East Khasi Hills,6,17,Meghalaya,2011-05-01,2.83E-04
Jaintia Hills,7,17,Meghalaya,2011-05-01,1.18E-04
Ri Bhoi,5,17,Meghalaya,2011-05-01,1.78E-04
South Garo Hills,3,17,Meghalaya,2011-05-01,2.17E-04
West Garo Hills,1,17,Meghalaya,2011-05-01,2.03E-04
West Khasi Hills,4,17,Meghalaya,2011-05-01,2.61E-04
Barpeta,5,18,Assam,2011-05-01,9.42E-05
Bongaigaon,4,18,Assam,2011-05-01,1.03E-04
Cachar,21,18,Assam,2011-05-01,9.56E-05
Darrang,8,18,Assam,2011-05-01,7.11E-05
Dhemaji,13,18,Assam,2011-05-01,4.38E-05
Dhubri,2,18,Assam,2011-05-01,1.28E-04
Dibrugarh,15,18,Assam,2011-05-01,4.85E-05
Kamrup,6,18,Assam,2011-05-01,1.18E-04
Karbi Anglong,19,18,Assam,2011-05-01,5.69E-05
Goalpara,3,18,Assam,2011-05-01,1.40E-04
Golaghat,18,18,Assam,2011-05-01,4.03E-05
Hailakandi,23,18,Assam,2011-05-01,1.00E-04
Jorhat,17,18,Assam,2011-05-01,4.75E-05
Karimganj,22,18,Assam,2011-05-01,1.10E-04
Kokrajhar,1,18,Assam,2011-05-01,1.06E-04
Lakhimpur,12,18,Assam,2011-05-01,4.88E-05
Nagaon,10,18,Assam,2011-05-01,5.74E-05
Marigaon,9,18,Assam,2011-05-01,6.79E-05
Nalbari,7,18,Assam,2011-05-01,8.30E-05
North Cachar Hills,20,18,Assam,2011-05-01,7.18E-05
Sonitpur,11,18,Assam,2011-05-01,5.19E-05
Sibsagar,16,18,Assam,2011-05-01,4.41E-05
Tinsukia,14,18,Assam,2011-05-01,4.63E-05
Barddhaman,9,19,West Bengal,2011-05-01,1.23E-05
Birbhum,8,19,West Bengal,2011-05-01,3.17E-05
Bankura,13,19,West Bengal,2011-05-01,1.07E-05
Dakshin Dinajpur,5,19,West Bengal,2011-05-01,5.32E-05
Darjiling,1,19,West Bengal,2011-05-01,6.95E-05
Haora,16,19,West Bengal,2011-05-01,9.83E-06
Hugli,12,19,West Bengal,2011-05-01,1.36E-05
Jalpaiguri,2,19,West Bengal,2011-05-01,1.39E-04
Koch Bihar,3,19,West Bengal,2011-05-01,1.36E-04
Murshidabad,7,19,West Bengal,2011-05-01,3.63E-05
Puruliya,14,19,West Bengal,2011-05-01,1.29E-05
Kolkata,17,19,West Bengal,2011-05-01,5.55E-06
Maldah,6,19,West Bengal,2011-05-01,4.99E-05
Nadia,10,19,West Bengal,2011-05-01,2.09E-05
North Twenty Four Parganas,11,19,West Bengal,2011-05-01,1.90E-05
Medinipur,15,19,West Bengal,2011-05-01,2.02E-05
South  Twenty Four Parganas,18,19,West Bengal,2011-05-01,2.01E-05
Uttar Dinajpur,4,19,West Bengal,2011-05-01,6.92E-05
Bokaro,13,20,Jharkhand,2011-05-01,7.60E-06
Deoghar,7,20,Jharkhand,2011-05-01,2.08E-05
Dhanbad,12,20,Jharkhand,2011-05-01,1.31E-05
Dumka,11,20,Jharkhand,2011-05-01,4.00E-05
Giridih,6,20,Jharkhand,2011-05-01,1.30E-05
Godda,8,20,Jharkhand,2011-05-01,5.57E-05
Gumla,16,20,Jharkhand,2011-05-01,4.64E-06
Purbi Singhbhum,18,20,Jharkhand,2011-05-01,6.16E-06
Lohardaga,15,20,Jharkhand,2011-05-01,2.69E-06
Pakaur,10,20,Jharkhand,2011-05-01,6.92E-05
Pashchimi Singhbhum,17,20,Jharkhand,2011-05-01,5.07E-06
Ranchi,14,20,Jharkhand,2011-05-01,4.26E-06
Sahibganj,9,20,Jharkhand,2011-05-01,6.64E-05
Garhwa,1,20,Jharkhand,2011-05-01,4.40E-06
Palamu,2,20,Jharkhand,2011-05-01,2.99E-06
Chatra,3,20,Jharkhand,2011-05-01,5.40E-06
Hazaribagh,4,20,Jharkhand,2011-05-01,5.76E-06
Kodarma,5,20,Jharkhand,2011-05-01,1.01E-05
Anugul,15,21,Orissa,2011-05-01,1.37E-05
Bhadrak,9,21,Orissa,2011-05-01,9.80E-06
Baudh,22,21,Orissa,2011-05-01,1.64E-05
Balangir,24,21,Orissa,2011-05-01,1.46E-05
Baleshwar,8,21,Orissa,2011-05-01,1.87E-05
Bargarh,1,21,Orissa,2011-05-01,1.18E-05
Kendrapara,10,21,Orissa,2011-05-01,2.19E-05
Kendujhar,6,21,Orissa,2011-05-01,4.75E-07
Debagarh,4,21,Orissa,2011-05-01,2.07E-05
Cuttack,12,21,Orissa,2011-05-01,8.13E-06
Dhenkanal,14,21,Orissa,2011-05-01,1.52E-07
Kalahandi,26,21,Orissa,2011-05-01,1.52E-05
Ganjam,19,21,Orissa,2011-05-01,1.63E-05
Gajapati,20,21,Orissa,2011-05-01,1.43E-05
Jajapur,13,21,Orissa,2011-05-01,1.54E-05
Jagatsinghapur,11,21,Orissa,2011-05-01,2.45E-05
Jharsuguda,2,21,Orissa,2011-05-01,9.27E-06
Khordha,17,21,Orissa,2011-05-01,1.14E-05
Mayurbhanj,7,21,Orissa,2011-05-01,4.14E-06
Puri,18,21,Orissa,2011-05-01,2.60E-05
Koraput,29,21,Orissa,2011-05-01,2.45E-05
Malkangiri,30,21,Orissa,2011-05-01,1.27E-05
Nabarangapur,28,21,Orissa,2011-05-01,2.00E-05
Nayagarh,16,21,Orissa,2011-05-01,2.03E-05
Nuapada,25,21,Orissa,2011-05-01,2.20E-05
Kandhamal,21,21,Orissa,2011-05-01,1.52E-05
Sambalpur,3,21,Orissa,2011-05-01,1.44E-05
Rayagada,27,21,Orissa,2011-05-01,1.07E-05
Sundargarh,5,21,Orissa,2011-05-01,7.86E-06
Sonapur,23,21,Orissa,2011-05-01,1.13E-05
Bastar,15,22,Chhattisgarh,2011-05-01,1.00E-05
Dantewada,16,22,Chhattisgarh,2011-05-01,1.04E-05
Dhamtari,13,22,Chhattisgarh,2011-05-01,1.28E-05
Durg,10,22,Chhattisgarh,2011-05-01,5.67E-06
Kanker,14,22,Chhattisgarh,2011-05-01,7.41E-06
Jashpur,3,22,Chhattisgarh,2011-05-01,1.50E-06
Koriya,1,22,Chhattisgarh,2011-05-01,1.27E-06
Mahasamund,12,22,Chhattisgarh,2011-05-01,1.07E-05
Raigarh,4,22,Chhattisgarh,2011-05-01,4.01E-06
Raipur,11,22,Chhattisgarh,2011-05-01,1.18E-05
Rajnandgaon,9,22,Chhattisgarh,2011-05-01,5.25E-06
Surguja,2,22,Chhattisgarh,2011-05-01,1.52E-06
Bilaspur,7,22,Chhattisgarh,2011-05-01,4.47E-06
Janjgir - Champa,6,22,Chhattisgarh,2011-05-01,5.97E-06
Korba,5,22,Chhattisgarh,2011-05-01,4.85E-06
Kawardha,8,22,Chhattisgarh,2011-05-01,3.53E-06
Bhind,3,23,Madhya Pradesh,2011-05-01,0.00E+00
Bhopal,32,23,Madhya Pradesh,2011-05-01,0.00E+00
Barwani,28,23,Madhya Pradesh,2011-05-01,0.00E+00
Betul,35,23,Madhya Pradesh,2011-05-01,1.41E-06
Balaghat,45,23,Madhya Pradesh,2011-05-01,2.91E-06
Chhatarpur,9,23,Madhya Pradesh,2011-05-01,0.00E+00
Chhindwara,43,23,Madhya Pradesh,2011-05-01,1.29E-06
Dewas,23,23,Madhya Pradesh,2011-05-01,1.12E-06
Katni,38,23,Madhya Pradesh,2011-05-01,0.00E+00
Datia,5,23,Madhya Pradesh,2011-05-01,0.00E+00
Damoh,12,23,Madhya Pradesh,2011-05-01,0.00E+00
Dhar,25,23,Madhya Pradesh,2011-05-01,0.00E+00
East Nimar,29,23,Madhya Pradesh,2011-05-01,3.31E-07
Guna,7,23,Madhya Pradesh,2011-05-01,0.00E+00
Gwalior,4,23,Madhya Pradesh,2011-05-01,4.05E-10
Harda,36,23,Madhya Pradesh,2011-05-01,2.88E-06
Hoshangabad,37,23,Madhya Pradesh,2011-05-01,1.58E-06
Indore,26,23,Madhya Pradesh,2011-05-01,0.00E+00
Jabalpur,39,23,Madhya Pradesh,2011-05-01,2.60E-10
Jhabua,24,23,Madhya Pradesh,2011-05-01,0.00E+00
Mandsaur,19,23,Madhya Pradesh,2011-05-01,0.00E+00
Tikamgarh,8,23,Madhya Pradesh,2011-05-01,0.00E+00
Narsimhapur,40,23,Madhya Pradesh,2011-05-01,0.00E+00
Neemuch,18,23,Madhya Pradesh,2011-05-01,1.64E-08
Panna,10,23,Madhya Pradesh,2011-05-01,0.00E+00
Raisen,34,23,Madhya Pradesh,2011-05-01,1.96E-07
Rajgarh,30,23,Madhya Pradesh,2011-05-01,9.46E-08
Satna,13,23,Madhya Pradesh,2011-05-01,0.00E+00
Sehore,33,23,Madhya Pradesh,2011-05-01,1.78E-06
Seoni,44,23,Madhya Pradesh,2011-05-01,9.00E-07
Shajapur,22,23,Madhya Pradesh,2011-05-01,3.21E-07
Shivpuri,6,23,Madhya Pradesh,2011-05-01,0.00E+00
Ratlam,20,23,Madhya Pradesh,2011-05-01,0.00E+00
Rewa,14,23,Madhya Pradesh,2011-05-01,0.00E+00
Sagar,11,23,Madhya Pradesh,2011-05-01,0.00E+00
Sidhi,17,23,Madhya Pradesh,2011-05-01,1.32E-06
Ujjain,21,23,Madhya Pradesh,2011-05-01,0.00E+00
Vidisha,31,23,Madhya Pradesh,2011-05-01,0.00E+00
West Nimar,27,23,Madhya Pradesh,2011-05-01,0.00E+00
Morena,2,23,Madhya Pradesh,2011-05-01,4.43E-08
Sheopur,1,23,Madhya Pradesh,2011-05-01,2.41E-08
Dindori,41,23,Madhya Pradesh,2011-05-01,2.35E-06
Mandla,42,23,Madhya Pradesh,2011-05-01,1.07E-06
Shahdol,16,23,Madhya Pradesh,2011-05-01,4.14E-06
Umaria,15,23,Madhya Pradesh,2011-05-01,2.11E-06
Anand,15,24,Gujarat,2011-05-01,0.00E+00
Ahmadabad,7,24,Gujarat,2011-05-01,0.00E+00
Amreli,13,24,Gujarat,2011-05-01,0.00E+00
Bhavnagar,14,24,Gujarat,2011-05-01,0.00E+00
Banas Kantha,2,24,Gujarat,2011-05-01,0.00E+00
Dohad,18,24,Gujarat,2011-05-01,0.00E+00
Junagadh,12,24,Gujarat,2011-05-01,1.75E-09
Kachchh,1,24,Gujarat,2011-05-01,0.00E+00
Gandhinagar,6,24,Gujarat,2011-05-01,0.00E+00
Jamnagar,10,24,Gujarat,2011-05-01,2.75E-09
Kheda,16,24,Gujarat,2011-05-01,0.00E+00
Mahesana,4,24,Gujarat,2011-05-01,0.00E+00
Narmada,20,24,Gujarat,2011-05-01,0.00E+00
Navsari,24,24,Gujarat,2011-05-01,0.00E+00
Panch Mahals,17,24,Gujarat,2011-05-01,0.00E+00
Patan,3,24,Gujarat,2011-05-01,0.00E+00
Porbandar,11,24,Gujarat,2011-05-01,7.01E-08
Rajkot,9,24,Gujarat,2011-05-01,0.00E+00
Sabar Kantha,5,24,Gujarat,2011-05-01,0.00E+00
Surendranagar,8,24,Gujarat,2011-05-01,0.00E+00
The Dangs,23,24,Gujarat,2011-05-01,0.00E+00
Vadodara,19,24,Gujarat,2011-05-01,0.00E+00
Valsad,25,24,Gujarat,2011-05-01,0.00E+00
Bharuch,21,24,Gujarat,2011-05-01,0.00E+00
Surat,22,24,Gujarat,2011-05-01,0.00E+00
Daman,2,25,Daman & Diu,2011-05-01,0.00E+00
Diu,1,25,Daman & Diu,2011-05-01,0.00E+00
Aurangabad,19,27,Maharashtra,2011-05-01,6.17E-08
Ahmadnagar,26,27,Maharashtra,2011-05-01,1.58E-06
Akola,5,27,Maharashtra,2011-05-01,3.21E-07
Amravati,7,27,Maharashtra,2011-05-01,4.70E-07
Bid,27,27,Maharashtra,2011-05-01,7.60E-07
Bhandara,10,27,Maharashtra,2011-05-01,3.06E-06
Buldana,4,27,Maharashtra,2011-05-01,6.32E-08
Chandrapur,13,27,Maharashtra,2011-05-01,3.24E-06
Dhule,2,27,Maharashtra,2011-05-01,0.00E+00
Gadchiroli,12,27,Maharashtra,2011-05-01,5.75E-06
Gondiya,11,27,Maharashtra,2011-05-01,3.66E-06
Hingoli,16,27,Maharashtra,2011-05-01,1.22E-09
Jalgaon,3,27,Maharashtra,2011-05-01,0.00E+00
Jalna,18,27,Maharashtra,2011-05-01,1.62E-08
Kolhapur,34,27,Maharashtra,2011-05-01,1.15E-05
Latur,28,27,Maharashtra,2011-05-01,2.02E-07
Pune,25,27,Maharashtra,2011-05-01,7.16E-06
Nagpur,9,27,Maharashtra,2011-05-01,2.50E-06
Mumbai,23,27,Maharashtra,2011-05-01,5.41E-06
Mumbai (Suburban),22,27,Maharashtra,2011-05-01,5.14E-06
Nanded,15,27,Maharashtra,2011-05-01,0.00E+00
Nandurbar,1,27,Maharashtra,2011-05-01,0.00E+00
Nashik,20,27,Maharashtra,2011-05-01,1.12E-07
Osmanabad,29,27,Maharashtra,2011-05-01,2.55E-06
Parbhani,17,27,Maharashtra,2011-05-01,0.00E+00
Sangli,35,27,Maharashtra,2011-05-01,1.02E-05
Satara,31,27,Maharashtra,2011-05-01,8.92E-06
Ratnagiri,32,27,Maharashtra,2011-05-01,5.14E-06
Raigarh,24,27,Maharashtra,2011-05-01,1.09E-05
Thane,21,27,Maharashtra,2011-05-01,1.23E-06
Solapur,30,27,Maharashtra,2011-05-01,2.46E-06
Sindhudurg,33,27,Maharashtra,2011-05-01,9.66E-06
Wardha,8,27,Maharashtra,2011-05-01,5.12E-07
Washim,6,27,Maharashtra,2011-05-01,1.30E-06
Yavatmal,14,27,Maharashtra,2011-05-01,8.50E-07
Anantapur,22,28,Andhra Pradesh,2011-05-01,2.16E-05
Adilabad,1,28,Andhra Pradesh,2011-05-01,4.14E-06
