system:index,ADM0_NAME,ADM1_NAME,ADM2_NAME,date,mean
0_00010000000000000dab,India,Assam,Nagaon,2018-01-01,21.821345175753272
0_00010000000000000dac,India,Assam,Nalbari,2018-01-01,16.65515614585945
0_00010000000000000dad,India,Assam,North Cachar Hills,2018-01-01,19.869868257741217
0_00010000000000000dae,India,Assam,Sibsagar,2018-01-01,23.232985345072606
0_00010000000000000daf,India,Assam,Sonitpur,2018-01-01,15.585444254035943
0_00010000000000000db0,India,Assam,Bongaigaon,2018-01-01,15.35996603730278
0_00010000000000000db1,India,Assam,Dhemaji,2018-01-01,18.025238368738187
0_00010000000000000db2,India,Assam,Hailakandi,2018-01-01,20.434228667443488
0_00010000000000000db3,India,Assam,Jorhat,2018-01-01,21.721021337998483
0_00010000000000000db4,India,Assam,Kokrajhar,2018-01-01,11.943554051999644
0_00010000000000000db5,India,Assam,Lakhimpur,2018-01-01,16.848246086423142
0_00010000000000000db6,India,Assam,Marigaon,2018-01-01,22.20587592587335
0_00010000000000000db7,India,Assam,Tinsukia,2018-01-01,19.891378735280377
0_00010000000000000db8,India,Delhi,Delhi,2018-01-01,6.999888446018212
0_00010000000000000dbb,India,Gujarat,Ahmadabad,2018-01-01,7.961786820869211
0_00010000000000000dbc,India,Gujarat,Amreli,2018-01-01,8.699510388701798
0_00010000000000000dbf,India,Gujarat,Bhavnagar,2018-01-01,8.678754487521164
0_00010000000000000dc0,India,Gujarat,Gandhinagar,2018-01-01,7.597395516342381
0_00010000000000000dc1,India,Gujarat,Jamnagar,2018-01-01,8.869066033323751
0_00010000000000000dc3,India,Gujarat,Kachchh,2018-01-01,7.617481494094029
0_00010000000000000dc6,India,Gujarat,Rajkot,2018-01-01,8.253883496290744
0_00010000000000000dc7,India,Gujarat,Sabar Kantha,2018-01-01,6.959196929960815
0_00010000000000000dc8,India,Gujarat,Surat,2018-01-01,10.28644380953868
0_00010000000000000dc9,India,Gujarat,Surendranagar,2018-01-01,7.934463528748456
0_00010000000000000dca,India,Gujarat,The Dangs,2018-01-01,10.799773178370918
0_00010000000000000dcb,India,Gujarat,Vadodara,2018-01-01,8.538448761320447
0_00010000000000000dd5,India,Haryana,Bhiwani,2018-01-01,6.805448692930687
0_00010000000000000dd6,India,Haryana,Gurgaon,2018-01-01,7.072825137886577
0_00010000000000000dd8,India,Haryana,Jind,2018-01-01,7.046537490430387
0_00010000000000000ddd,India,Haryana,Sirsa,2018-01-01,6.6586288142277565
0_00010000000000000ddf,India,Haryana,Faridabad,2018-01-01,7.122255807384362
0_00010000000000000de7,India,Himachal Pradesh,Bilaspur,2018-01-01,5.341508311267482
0_00010000000000000de8,India,Himachal Pradesh,Chamba,2018-01-01,2.54409941703199
0_00010000000000000de9,India,Himachal Pradesh,Hamirpur,2018-01-01,4.714063146806036
0_00010000000000000dea,India,Himachal Pradesh,Kangra,2018-01-01,4.262251176629737
0_00010000000000000deb,India,Himachal Pradesh,Kinnaur,2018-01-01,1.0939400679586821
0_00010000000000000dec,India,Himachal Pradesh,Kullu,2018-01-01,1.5208840902007226
0_00010000000000000ded,India,Himachal Pradesh,Lahul and Spiti,2018-01-01,0.9997843617026594
0_00010000000000000dee,India,Himachal Pradesh,Mandi,2018-01-01,3.2744325880592595
0_00010000000000000def,India,Himachal Pradesh,Shimla,2018-01-01,2.465430542563855
0_00010000000000000df0,India,Himachal Pradesh,Sirmaur,2018-01-01,4.223687937056522
0_00010000000000000df1,India,Himachal Pradesh,Solan,2018-01-01,5.2432386709006105
0_00010000000000000df2,India,Himachal Pradesh,Una,2018-01-01,6.099742245043985
0_00010000000000000df3,India,Karnataka,Belgaum,2018-01-01,18.848961590214333
0_00010000000000000df5,India,Karnataka,Bidar,2018-01-01,16.348112243557193
0_00010000000000000df7,India,Karnataka,Chikmagalur,2018-01-01,24.190335133359213
0_00010000000000000dfa,India,Karnataka,Gulbarga,2018-01-01,18.647791539530775
0_00010000000000000dfb,India,Karnataka,Hassan,2018-01-01,23.33968812491875
0_00010000000000000dfc,India,Karnataka,Kodagu,2018-01-01,29.144162271421557
0_00010000000000000dfd,India,Karnataka,Kolar,2018-01-01,22.28348991305279
0_00010000000000000dfe,India,Karnataka,Mandya,2018-01-01,24.354699239475387
0_00010000000000000e02,India,Karnataka,Tumkur,2018-01-01,22.38508899796703
0_00010000000000000e03,India,Karnataka,Uttar Kannand,2018-01-01,24.19618779698889
0_00010000000000000e05,India,Karnataka,Bangalore Rural,2018-01-01,23.901804991145962
0_00010000000000000e06,India,Karnataka,Bangalore Urban,2018-01-01,23.170403321019876
0_00010000000000000e0e,India,Kerala,Kannur,2018-01-01,34.46159631922398
0_00010000000000000e0f,India,Kerala,Ernakulam,2018-01-01,39.13683696178261
0_00010000000000000e10,India,Kerala,Idukki,2018-01-01,34.33666413912613
0_00010000000000000e11,India,Kerala,Kasaragod,2018-01-01,34.31714562500146
0_00010000000000000e12,India,Kerala,Kottayam,2018-01-01,40.17369567419798
0_00010000000000000e13,India,Kerala,Kozhikode,2018-01-01,35.960001385170514
0_00010000000000000e14,India,Kerala,Malappuram,2018-01-01,34.70277455855403
0_00010000000000000e15,India,Kerala,Palakkad,2018-01-01,33.40207196872532
0_00010000000000000e16,India,Kerala,Pattanamtitta,2018-01-01,38.43435033485773
0_00010000000000000e17,India,Kerala,Kollam,2018-01-01,40.60288198802649
0_00010000000000000e18,India,Kerala,Thrissur,2018-01-01,38.62064460930564
0_00010000000000000e19,India,Kerala,Thiruvananthapuram,2018-01-01,40.76080496454568
0_00010000000000000e1a,India,Kerala,Wayanad,2018-01-01,29.905803581902646
0_00010000000000000e1b,India,Kerala,Alappuzha,2018-01-01,41.544874866776794
0_00010000000000000e1c,India,Lakshadweep,Kavaratti,2018-01-01,35.52843337812034
0_00010000000000000e1e,India,Maharashtra,Amravati,2018-01-01,10.032840158080417
0_00010000000000000e20,India,Maharashtra,Buldana,2018-01-01,10.163668523067312
0_00010000000000000e21,India,Maharashtra,Chandrapur,2018-01-01,14.885005431768743
0_00010000000000000e23,India,Maharashtra,Garhchiroli,2018-01-01,17.460457584409706
0_00010000000000000e24,India,Maharashtra,Jalgaon,2018-01-01,9.85168013142069
0_00010000000000000e25,India,Maharashtra,Kolhapur,2018-01-01,19.552512606159365
0_00010000000000000e26,India,Maharashtra,Latur,2018-01-01,14.435123514233764
0_00010000000000000e27,India,Maharashtra,Nagpur,2018-01-01,11.410615923035554
0_00010000000000000e28,India,Maharashtra,Nanded,2018-01-01,14.287893181103723
0_00010000000000000e29,India,Maharashtra,Nashik,2018-01-01,10.429341148830268
0_00010000000000000e2a,India,Maharashtra,Osmanabad,2018-01-01,14.39938801856415
0_00010000000000000e2b,India,Maharashtra,Pune,2018-01-01,13.714186435653724
