City,Maximum_Mean_Temperature,Minimum_Mean_Temperature,Quarter,Ward
Ahmedabad,294.3881836,294.3881836,2012_Q1,32 VEJALPUR
Ahmedabad,294.3881836,294.3881836,2012_Q1,31 VASNA
Ahmedabad,294.3881836,294.3881836,2012_Q1,30 PALDI
Ahmedabad,294.3881836,294.3881836,2012_Q1,29 JAMALPUR
Ahmedabad,294.3881836,294.3881836,2012_Q1,28 KHADIA
Ahmedabad,294.3881836,294.3881836,2012_Q1,27 SARASPUR-RAKHIYAL
Ahmedabad,294.3881836,294.3881836,2012_Q1,26 BAPUNAGAR
Ahmedabad,294.3881836,294.3881836,2012_Q1,25 VIRATNAGAR
Ahmedabad,294.3881836,294.3881836,2012_Q1,24 NIKOL
Ahmedabad,294.3881836,294.3881836,2012_Q1,23 THAKKARBAPANAGAR
Ahmedabad,294.3881836,294.3881836,2012_Q1,22 INDIA COLONY
Ahmedabad,294.3881836,294.3881836,2012_Q1,21 DARIYAPUR
Ahmedabad,295.2101746,294.3881836,2012_Q1,20 JODHPUR
Ahmedabad,295.2101746,294.3881836,2012_Q1,19 BODAKDEV
Ahmedabad,294.3881836,294.3881836,2012_Q1,18 NAVRANGPURA
Ahmedabad,294.3881836,294.3881836,2012_Q1,17 SHAHPUR
Ahmedabad,294.3881836,294.3881836,2012_Q1,16 SHAHIBAG
Ahmedabad,294.3881836,294.3881836,2012_Q1,15 ASARWA
Ahmedabad,294.3881836,294.3881836,2012_Q1,14 KUBERNAGR
Ahmedabad,294.3881836,294.3881836,2012_Q1,13 SAIJPUR BOGHA
Ahmedabad,294.3881836,294.3881836,2012_Q1,12 NARODA
Ahmedabad,294.3881836,294.3881836,2012_Q1,11 SARDARNAGAR
Ahmedabad,294.3881836,294.3881836,2012_Q1,10 S.P.STADIUM
Ahmedabad,294.3881836,294.3881836,2012_Q1,09 NARANPURA
Ahmedabad,295.2101746,294.3881836,2012_Q1,08 THALTEJ
Ahmedabad,294.3881836,294.3881836,2012_Q1,07 GHATLODIA
Ahmedabad,294.3881836,294.3881836,2012_Q1,06 NEW WADAJ
Ahmedabad,294.3881836,294.3881836,2012_Q1,05 RANIP
Ahmedabad,294.3881836,294.3881836,2012_Q1,04 SABARMATI
Ahmedabad,294.3881836,294.3881836,2012_Q1,03 CHANDKHEDA
Ahmedabad,294.3881836,294.3881836,2012_Q1,02 CHANDLODIA
Ahmedabad,295.2101746,294.3881836,2012_Q1,01 GOTA
Ahmedabad,306.9692383,306.9692383,2012_Q2,48 RAMOL HATHIJAN
Ahmedabad,306.9692383,306.9692383,2012_Q2,47 VATVA
Ahmedabad,306.9692383,306.9692383,2012_Q2,46 LAMBHA
Ahmedabad,306.9692383,306.9692383,2012_Q2,45 ISANPUR
Ahmedabad,306.9692383,306.9692383,2012_Q2,44 KHOKHRA
Ahmedabad,306.9692383,306.9692383,2012_Q2,43 BHAIPURA HATKESHWAR
Ahmedabad,306.9692383,306.9692383,2012_Q2,42 INDRAPURI
Ahmedabad,306.9692383,306.9692383,2012_Q2,41 VASTRAL
Ahmedabad,306.9692383,306.9692383,2012_Q2,40 ODHAV
Ahmedabad,306.9692383,306.9692383,2012_Q2,39 AMRAIWADI
Ahmedabad,306.9692383,306.9692383,2012_Q2,38 GOMTIPUR
Ahmedabad,306.9692383,306.9692383,2012_Q2,37 MANINAGAR
Ahmedabad,306.9692383,306.9692383,2012_Q2,36 DANILIMDA
Ahmedabad,306.9692383,306.9692383,2012_Q2,35 BAHERAMPURA
Ahmedabad,306.9692383,306.8843384,2012_Q2,34 MAKTAMPURA
Ahmedabad,306.9692383,306.8843384,2012_Q2,33 SARKHEJ
Ahmedabad,306.9692383,306.9692383,2012_Q2,32 VEJALPUR
Ahmedabad,306.9692383,306.9692383,2012_Q2,31 VASNA
Ahmedabad,306.9692383,306.9692383,2012_Q2,30 PALDI
Ahmedabad,306.9692383,306.9692383,2012_Q2,29 JAMALPUR
Ahmedabad,306.9692383,306.9692383,2012_Q2,28 KHADIA
Ahmedabad,306.9692383,306.9692383,2012_Q2,27 SARASPUR-RAKHIYAL
Ahmedabad,306.9692383,306.9692383,2012_Q2,26 BAPUNAGAR
Ahmedabad,306.9692383,306.9692383,2012_Q2,25 VIRATNAGAR
Ahmedabad,306.9692383,306.9692383,2012_Q2,24 NIKOL
Ahmedabad,306.9692383,306.9692383,2012_Q2,23 THAKKARBAPANAGAR
Ahmedabad,306.9692383,306.9692383,2012_Q2,22 INDIA COLONY
Ahmedabad,306.9692383,306.9692383,2012_Q2,21 DARIYAPUR
Ahmedabad,306.9692383,306.8843384,2012_Q2,20 JODHPUR
Ahmedabad,306.9692383,306.8843384,2012_Q2,19 BODAKDEV
Ahmedabad,306.9692383,306.9692383,2012_Q2,18 NAVRANGPURA
Ahmedabad,306.9692383,306.9692383,2012_Q2,17 SHAHPUR
Ahmedabad,306.9692383,306.9692383,2012_Q2,16 SHAHIBAG
Ahmedabad,306.9692383,306.9692383,2012_Q2,15 ASARWA
Ahmedabad,306.9692383,306.9692383,2012_Q2,14 KUBERNAGR
Ahmedabad,306.9692383,306.9692383,2012_Q2,13 SAIJPUR BOGHA
